pc1,pc2,normality
-1.847124838,-0.087182294,1
-1.400199306,0.15941894,1
-2.627847285,-0.697001328,1
-1.906528896,0.126705403,1
-1.598385065,-0.214069567,1
-1.494771553,-0.066350566,1
-1.832323893,0.129291708,1
-1.854741567,0.121941111,1
-1.678902313,2.202421188,1
7.537438988,-8.876310726,0
0.810957235,-0.106897331,1
1.072197584,-0.234439379,1
-2.219726526,-0.960104311,1
-1.539002347,0.850219344,1
-1.626147989,1.723274696,1
-1.901842928,0.043781684,1
-2.855814735,0.50502798,1
-2.076569879,0.564657105,1
-1.232638163,2.097503819,1
-2.624751751,0.420353349,1
-1.657046138,1.576852542,1
-2.298893257,0.205772744,1
-1.907691199,0.577057959,1
-1.435878914,0.595219942,1
-1.606087399,1.639451734,1
-1.667243601,0.0935318,0
-1.844730053,0.094390778,1
-1.862160086,0.774451372,1
-1.831483769,0.095394889,0
-1.323076335,0.332525748,1
-1.57365405,-0.508158811,1
-1.776720745,-0.073085024,0
-1.847403367,0.900089242,0
-2.018221333,1.032703707,1
-1.698689183,-0.150817105,1
22.41651712,17.99838672,1
-1.52483149,1.640776433,1
-1.90351247,0.065970074,1
1.230288673,-0.139067896,0
1.133021205,-0.208849561,0
-1.630615418,1.780780597,1
-1.679711171,0.794582363,1
0.902682009,0.057693051,0
-2.279608187,-0.169644983,1
16.63169276,5.932074452,1
5.069190642,-8.532903811,1
0.877222193,-0.196298564,1
4.311642374,-7.465234755,0
-1.574333743,1.802277517,1
-2.143464789,-0.060243305,1
-1.926308862,-0.003697129,1
0.99914745,-0.242004548,1
-2.381114381,-0.228471177,1
-1.834273982,-0.10711055,0
-2.062811546,0.250318936,1
-1.893387784,0.76715553,1
4.313583237,-7.686268261,1
0.902170314,-0.184070829,0
-1.677215856,2.077543277,1
-1.337592207,0.198091694,1
20.9440384,-4.029039389,1
-1.586293419,0.825519366,1
-1.725458979,1.622489934,1
-2.064034898,0.498315894,1
6.676782484,-8.53648801,1
-1.69134057,2.032423683,1
-1.408694358,1.619536828,1
-1.566454318,1.896230324,1
-1.527583099,-0.66869829,1
6.904297023,-8.035500563,1
1.127811016,0.035130843,0
-1.208540116,1.578174756,1
1.039275116,-0.196758102,0
-1.737330704,-0.300404629,1
-1.794044031,0.306469269,1
-1.655273288,1.897360763,1
-1.627289448,-0.288165438,1
-2.141222842,0.383019837,1
-1.528637395,1.593736416,1
-1.799838006,1.558767621,1
1.051870397,-0.129446494,1
0.555015265,-0.015402805,1
-1.762668338,1.099480184,0
-0.271582056,-0.209577803,1
-2.576623042,-0.410489809,0
-1.687409623,2.039734368,1
-2.691424712,0.498004536,1
-1.589808188,0.542597471,0
-1.429980275,-0.004401091,0
-1.010907774,-0.678654482,1
-1.999099551,1.054772769,1
-1.869780732,-0.075185422,0
-1.620352715,0.616592735,1
-1.589772937,-0.227043482,1
-2.073537332,0.202158869,1
-1.741866932,0.258421825,1
-1.816173951,0.705620628,1
-2.203652675,-0.129393626,1
-2.041029763,0.533057865,1
-2.195643109,0.204933554,0
-1.542109377,0.079635084,1
-1.487215082,0.211342389,1
20.58036428,11.41422172,1
5.589278091,-8.66580364,1
-2.315538393,-0.286532098,1
-1.342015293,1.092708981,0
0.631200379,-0.280325983,1
-2.212193109,-0.56384336,1
0.988509802,-0.055068064,1
-1.119587084,-0.745874986,1
-1.75737999,-0.296365789,1
-1.579537152,1.718648524,1
-1.88855612,0.616484163,1
-1.810713719,0.783615928,1
-1.826355373,-0.317205706,1
0.802509866,-0.240483223,0
-1.553104731,1.863465177,1
-2.704205365,-0.75227259,0
-1.774462816,1.462218492,1
5.176097353,-7.757617252,0
-0.422428742,-0.365916751,1
4.805519078,-7.40124882,0
-1.645517349,-0.527001336,1
-1.666647453,1.11522219,1
-1.539094526,1.808443408,1
-2.400442876,-0.064236329,1
-1.84078874,0.032030366,1
6.474484326,-8.294462139,0
-2.004569432,-0.191112043,0
-0.284377122,-0.377109721,1
-2.233232307,0.21233085,1
-2.202367949,0.40458063,1
-1.588542325,2.056925348,1
-1.964391655,0.021394169,1
-0.861590381,-0.407133712,1
-2.30034888,0.122922826,1
-2.309365599,-0.197444552,1
-1.131645167,1.272762886,1
-1.651904435,0.284342173,1
-1.583910304,2.067864144,1
-1.762037198,0.098239487,1
0.940438073,-0.181532587,1
-1.410956399,1.150253875,1
-1.539266974,0.649989465,1
-1.520029199,0.111158203,1
-2.464068832,0.104893006,1
-1.558598055,1.596705558,1
15.97265876,-15.50613772,0
-2.004527263,-0.295144884,1
-1.792606294,-0.310700496,1
-1.315664151,0.345985075,1
-1.738315429,2.009423351,0
-2.176413841,0.698693378,1
-2.132198864,0.201172962,1
4.148596362,-7.251384082,1
-1.879614432,0.463609837,1
-1.51453377,1.026553798,1
-1.886572236,-0.005839755,1
1.056046458,-0.244000843,1
-1.454982556,0.203755134,1
-1.793989018,0.630386218,1
-2.041667847,0.34362919,1
-2.034776123,-0.104151416,1
-1.851786963,-0.715794167,0
1.019109345,-0.263768505,1
-1.897367217,1.026627815,0
-1.822527974,0.085218814,1
-1.796828561,-0.108258425,1
-1.714107983,0.094459818,1
-2.172145565,-0.210952716,1
-2.042695076,0.024695742,1
-1.556315658,1.856141308,1
-1.849230411,0.115304734,0
4.290338881,-7.156757953,1
-0.474314539,-0.276015259,0
-1.584561175,1.559369563,1
0.968317678,-0.18296803,1
-1.686175716,0.350497485,0
-1.541281307,1.807014209,1
1.108953465,-0.201176997,1
-1.871685511,-0.259703975,1
-2.156843339,0.01126703,1
0.972319567,-0.221694531,1
0.579131159,-0.025716947,0
-1.477964413,0.33144369,1
-1.933025229,-0.001137631,0
4.362708157,-7.482317945,1
-1.245355946,1.048637648,1
22.8880825,-7.566832618,1
1.009496766,-0.276845684,1
-1.665543712,1.8127422,1
-1.640688504,1.711811442,1
-1.966084819,-0.026485175,0
16.12221085,-7.081594328,0
-1.391539282,0.55543019,1
-1.46301983,-0.781473973,0
1.109919526,-0.182127704,1
1.09682075,-0.272042331,0
-1.833238783,0.729147556,1
-1.834771925,1.00128104,1
-1.692004488,0.502140446,1
1.07130967,-0.277243164,1
-1.250529474,1.855020111,0
8.379515707,-10.37608269,0
-1.699210753,0.038615133,1
-0.582148116,-0.287744449,1
1.077858841,-0.285706486,1
-2.318611246,-0.041584743,1
-1.45740262,-0.654357105,1
-1.688618036,-0.039658116,1
-1.662236192,1.916889569,1
4.497423261,-7.889565705,0
-1.614375725,1.747432208,1
21.21581154,-3.500891179,1
-1.974896511,0.053789423,1
-1.634685931,1.923998828,1
-1.778412447,-0.122688473,1
-1.54865686,1.096862193,1
-1.622914694,1.735048385,1
-2.172336826,-0.091570924,1
-1.830191145,0.024528614,1
0.999201085,-0.173707726,1
-1.759514234,1.334118906,1
-1.873251412,0.147835078,1
-0.743016007,-0.308002073,1
-1.852894575,-0.077326473,1
-2.112231632,-0.855027216,1
4.918528632,-7.379180422,1
-1.532551849,2.048421959,1
-1.978638137,-0.279410859,1
-1.759357822,-0.415858251,1
-1.504864617,1.291678847,1
-1.736713409,0.481678263,1
-1.720454098,-0.068131012,1
18.52384168,-8.362071783,1
-1.781885738,1.029898968,1
-1.588562211,1.949100144,1
-1.934422996,1.144715032,1
-1.80921912,2.18958391,1
-2.14717421,0.066287469,1
-0.352830586,-0.474695897,1
-2.11244244,-0.014584204,1
-1.816184846,0.576903217,0
1.147309605,0.080941756,0
-1.808802592,1.107429214,0
4.611138341,-7.183363977,1
-1.915514017,1.083553528,1
20.13761795,14.10461658,1
-1.814769662,1.651121987,1
-2.055553458,0.44817306,1
-1.642647077,0.163650789,1
-1.384974648,-0.856970414,0
-1.244823144,-0.657395984,1
-1.52611236,0.574765118,1
22.53667006,17.00616188,1
-1.541606032,0.063384288,1
-1.879747127,0.261278077,1
-1.736010824,1.319636265,0
-1.737097972,-0.408421302,1
-1.370528031,-0.017706914,1
-2.051687904,0.269168453,1
-2.489433608,-0.343113064,1
-1.742813629,1.7568485,1
22.68654543,16.45337081,1
-1.63467536,1.829021591,1
